id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
14.0,CAH,hydro,Run-Of-River,PP,BO,28.02,,1972.0,1972.0,2072.0,-16.0566164,-68.0151562,,0.0,0.0,8.27,CAH-006_CAH,Cahua CAH-006 CAH
15.0,HUA,hydro,Run-Of-River,PP,BO,30.15,,1997.0,1997.0,2097.0,-16.0411515,-67.9771815,,0.0,0.0,15.13,HUA-006_HUA,Huaji HUA-006 HUA
16.0,MIG,hydro,Reservoir,PP,BO,2.55,,1931.0,1931.0,2031.0,-16.9254382,-67.3769733,,0.0,0.0,2732.94,MIG-069_MIG,Miguilla MIG-069 MIG
17.0,ANG,hydro,Reservoir,PP,BO,6.23,,1936.0,1936.0,2036.0,-16.8943087,-67.316225,,0.0,0.0,13566.64,MIG-069_ANG,Angostura MIG-069 ANG
18.0,CHO,hydro,Reservoir,PP,BO,6.2,,1939.0,1939.0,2039.0,-16.8481541,-67.3186577,,0.0,0.0,103.74,MIG-069_CHO,Choquetanga MIG-069 CHO
19.0,CRB,hydro,Reservoir,PP,BO,6.13,,1958.0,1958.0,2058.0,-16.8681617,-67.3533474,,0.0,0.0,1382.71,MIG-069_CRB,Carabuco MIG-069 CRB
20.0,CHJ,hydro,Reservoir,PP,BO,38.4,,2002.0,2002.0,2102.0,-16.412412,-67.7719186,,0.0,0.0,8251.22,CHJ-011_CHJ,Chojlla CHJ-011 CHJ
21.0,YAN,hydro,Run-Of-River,PP,BO,50.79,,2002.0,2002.0,2102.0,-16.3886717,-67.7450514,,0.0,0.0,56.03,YAN-011_YAN,Yanacachi YAN-011 YAN
22.0,KAN,hydro,Run-Of-River,PP,BO,7.54,,1999.0,1999.0,2099.0,-17.3173412,-66.2223072,,0.0,0.0,309.72,KAN-115_KAN,Kanata KAN-115 KAN
23.0,KIL,hydro,Run-Of-River,PP,BO,11.49,,1936.0,1936.0,2036.0,-19.7812088,-66.3484859,,0.0,0.0,277.04,YUR-069_KIL,Kilpani YUR-069 KIL
24.0,LAN,hydro,Run-Of-River,PP,BO,5.15,,1958.0,1958.0,2058.0,-19.8172138,-66.3210774,,0.0,0.0,1.97,YUR-069_LAN,Landara YUR-069 LAN
25.0,PUH*,hydro,Run-Of-River,PP,BO,2.4,,1962.0,1962.0,2062.0,-20.0486377,-66.1353154,,0.0,0.0,17.66,YUR-069_PUH,Punutuma YUR-069 PUH *
26.0,QUE,hydro,Run-Of-River,PP,BO,1.97,,2007.0,2007.0,2107.0,-16.9992413,-67.2604775,,0.0,0.0,12.4,VIN-069_QUE,Quehata VIN-069 QUE
27.0,SJA,hydro,Reservoir,PP,BO,7.6,,2015.0,2015.0,2115.0,-21.5761915,-64.7209194,,0.0,0.0,5443.6,TAJ-115_SJA,San Jacinto TAJ-115 SJA
28.0,MIS,hydro,Reservoir,PP,BO,120.0,,2017.0,2017.0,2117.0,-17.3151747,-66.260958,,0.0,0.0,330427.89,MIS-115_MIS,Misicuni MIS-115 MIS
29.0,GCH01*,OCGT,OCGT,PP,BO,16.84,0.35,1975.0,1995.0,2025.0,-17.7861315,-63.1542483,0.0,0.0,0.0,0.0,GCH-069_GCH01,Guaracachi GCH-069 GCH01
30.0,GCH02*,OCGT,OCGT,PP,BO,15.99,0.35,1977.0,1997.0,2027.0,-17.7861514,-63.1537873,0.0,0.0,0.0,0.0,GCH-069_GCH02,Guaracachi GCH-069 GCH02
31.0,GCH04*,OCGT,OCGT,PP,BO,18.1,0.35,1980.0,2000.0,2030.0,-17.7861724,-63.1535983,0.0,0.0,0.0,0.0,GCH-069_GCH04,Guaracachi GCH-069 GCH04
32.0,GCH06*,OCGT,OCGT,PP,BO,18.79,0.35,1988.0,2008.0,2038.0,-17.7861777,-63.1526582,0.0,0.0,0.0,0.0,GCH-069_GCH06,Guaracachi GCH-069 GCH06
33.0,GCH09COM*,OCGT,OCGT,PP,BO,57.14,0.35,1999.0,1999.0,2029.0,-17.7878257,-63.1524502,0.0,0.0,0.0,0.0,GCH-069_GCH09COM,Guaracachi GCH-069 GCH09COM
34.0,GCH10COM*,OCGT,OCGT,PP,BO,55.97,0.35,1999.0,1999.0,2029.0,-17.7878307,-63.1526702,0.0,0.0,0.0,0.0,GCH-069_GCH10COM,Guaracachi GCH-069 GCH10COM
35.0,GCH11*,OCGT,OCGT,PP,BO,57.0,0.35,2007.0,2007.0,2037.0,-17.7866617,-63.1538432,0.0,0.0,0.0,0.0,GCH-069_GCH11,Guaracachi GCH-069 GCH11
36.0,GCH12*,OCGT,OCGT,PP,BO,79.81,0.35,2012.0,2013.0,2043.0,-17.787104,-63.152594,0.0,0.0,0.0,0.0,GCH-069_GCH12,Guaracachi GCH-069 GCH12
39.0,UNA01*,Bioenergy,Steam Turbine,PP,BO,35.0,0.31,2014.0,2014.0,2044.0,-17.1107808,-63.2482406,0.0,0.0,0.0,0.0,MIN-115_UNA01,Unagro MIN-115 UNA01
40.0,SBU01*,Bioenergy,Steam Turbine,PP,BO,5.0,0.31,2016.0,2016.0,2046.0,-14.3380748,-67.6181427,0.0,0.0,0.0,0.0,SBU-115_SBU01,San Buenaventura SBU-115 SBU01
41.0,AGU01,Bioenergy,Steam Turbine,PP,BO,12.0,0.31,2021.0,2022.0,2052.0,-16.857456,-63.2804035,0.0,0.0,0.0,0.0,MIN-115_AGU01,AGUAI MIN-115 AGU01
46.0,ARJ09*,OCGT,OCGT,PP,BO,1.49,0.35,2007.0,2007.0,2037.0,-19.0536237,-65.2839672,0.0,0.0,0.0,0.0,ARJ-069_ARJ09,Aranajuez ARJ-069 ARJ09
47.0,ARJ11*,OCGT,OCGT,PP,BO,1.49,0.35,2007.0,2007.0,2037.0,-19.0536517,-65.2839542,0.0,0.0,0.0,0.0,ARJ-069_ARJ11,Aranajuez ARJ-069 ARJ11
48.0,ARJ12*,OCGT,OCGT,PP,BO,1.6,0.35,2007.0,2007.0,2037.0,-19.0536857,-65.2839082,0.0,0.0,0.0,0.0,ARJ-069_ARJ12,Aranajuez ARJ-069 ARJ12
49.0,ARJ13*,OCGT,OCGT,PP,BO,1.55,0.35,2008.0,2008.0,2038.0,-19.0537387,-65.2838972,0.0,0.0,0.0,0.0,ARJ-069_ARJ13,Aranajuez ARJ-069 ARJ13
50.0,ARJ14*,OCGT,OCGT,PP,BO,1.51,0.35,2008.0,2008.0,2038.0,-19.0537807,-65.2838692,0.0,0.0,0.0,0.0,ARJ-069_ARJ14,Aranajuez ARJ-069 ARJ14
51.0,ARJ15*,OCGT,OCGT,PP,BO,1.6,0.35,2008.0,2008.0,2038.0,-19.0536027,-65.2840222,0.0,0.0,0.0,0.0,ARJ-069_ARJ15,Aranajuez ARJ-069 ARJ15
56.0,VHE05,OCGT,OCGT,PP,BO,9.79,0.35,2012.0,2012.0,2042.0,-17.4307587,-66.1180372,0.0,0.0,0.0,0.0,VHE-115_VHE05,Valle Hermoso VHE-115 VHE05
57.0,VHE06,OCGT,OCGT,PP,BO,9.79,0.35,2012.0,2012.0,2042.0,-17.4307307,-66.1179512,0.0,0.0,0.0,0.0,VHE-115_VHE06,Valle Hermoso VHE-115 VHE06
58.0,VHE07,OCGT,OCGT,PP,BO,9.79,0.35,2012.0,2012.0,2042.0,-17.4307307,-66.1179512,0.0,0.0,0.0,0.0,VHE-115_VHE07,Valle Hermoso VHE-115 VHE07
59.0,VHE08,OCGT,OCGT,PP,BO,9.79,0.35,2012.0,2012.0,2042.0,-17.4306717,-66.1177712,0.0,0.0,0.0,0.0,VHE-115_VHE08,Valle Hermoso VHE-115 VHE08
60.0,CAR01,OCGT,OCGT,PP,BO,49.76,0.35,1996.0,1996.0,2026.0,-17.2125958,-64.5319487,0.0,0.0,0.0,0.0,CAR-230_CAR01,Carrasco CAR-230 CAR01
61.0,CAR02,OCGT,OCGT,PP,BO,51.37,0.35,1996.0,1996.0,2026.0,-17.2126807,-64.5283102,0.0,0.0,0.0,0.0,CAR-230_CAR02,Carrasco CAR-230 CAR02
62.0,CAR03,OCGT,OCGT,PP,BO,21.81,0.35,2011.0,2011.0,2041.0,-17.2127937,-64.5280822,0.0,0.0,0.0,0.0,CAR-230_CAR03,Carrasco CAR-230 CAR03
63.0,ALT01,OCGT,OCGT,PP,BO,16.19,0.35,2012.0,2012.0,2042.0,-16.5654757,-68.1814272,0.0,0.0,0.0,0.0,KEN-115_ALT01,El Alto KEN-115 ALT01
64.0,ALT02,OCGT,OCGT,PP,BO,30.0,0.35,2013.0,2013.0,2043.0,-16.5653777,-68.1817352,0.0,0.0,0.0,0.0,KEN-115_ALT02,El Alto KEN-115 ALT02
65.0,BUL01,OCGT,OCGT,PP,BO,42.41,0.35,2000.0,2000.0,2030.0,-17.2423217,-64.5410832,0.0,0.0,0.0,0.0,CAR-230_BUL01,Bulo Bulo CAR-230 BUL01
66.0,BUL02,OCGT,OCGT,PP,BO,41.15,0.35,2000.0,2000.0,2030.0,-17.2425497,-64.5410292,0.0,0.0,0.0,0.0,CAR-230_BUL02,Bulo Bulo CAR-230 BUL02
67.0,BUL03,OCGT,OCGT,PP,BO,48.74,0.35,2014.0,2014.0,2044.0,-17.2428087,-64.5409702,0.0,0.0,0.0,0.0,CAR-230_BUL03,Bulo Bulo CAR-230 BUL03
68.0,ERI01,OCGT,OCGT,PP,BO,26.43,0.35,2010.0,2015.0,2040.0,-17.1968637,-64.5160442,0.0,0.0,0.0,0.0,ERI-230_ERI11,Entre Rios ERI-230 ERI11
69.0,ERI02,OCGT,OCGT,PP,BO,25.8,0.35,2010.0,2015.0,2040.0,-17.1967867,-64.5162542,0.0,0.0,0.0,0.0,ERI-230_ERI12,Entre Rios ERI-230 ERI12
70.0,ERI03,OCGT,OCGT,PP,BO,26.81,0.35,2010.0,2015.0,2040.0,-17.1971047,-64.5161332,0.0,0.0,0.0,0.0,ERI-230_ERI21,Entre Rios ERI-230 ERI21
71.0,ERI04,OCGT,OCGT,PP,BO,26.17,0.35,2010.0,2015.0,2040.0,-17.1970457,-64.5163642,0.0,0.0,0.0,0.0,ERI-230_ERI22,Entre Rios ERI-230 ERI22
72.0,CCERI30,CCGT,CCGT,PP,BO,126.59,0.45,2019.0,2019.0,2049.0,-17.1953237,-64.5154512,0.0,0.0,0.0,0.0,ERD-230_CCERI30,Entre Rios ERD-230 CCERI30
73.0,CCERI40,CCGT,CCGT,PP,BO,126.73,0.45,2019.0,2019.0,2049.0,-17.1955927,-64.5155642,0.0,0.0,0.0,0.0,ERD-230_CCERI40,Entre Rios ERD-230 CCERI40
74.0,CCERI50,CCGT,CCGT,PP,BO,126.63,0.45,2019.0,2021.0,2049.0,-17.1960767,-64.5157892,0.0,0.0,0.0,0.0,ERD-230_CCERI50,Entre Rios ERD-230 CCERI50
75.0,MOA02**,Oil,Steam Turbine,PP,BO,1.28,0.35,2010.0,2010.0,2040.0,-14.8299401,-64.937811,0.0,0.0,0.0,0.0,TRI-115_MOA02,Moxos TRI-115 MOA02
76.0,MOA05**,Oil,Steam Turbine,PP,BO,1.1,0.35,2002.0,2002.0,2032.0,-14.8299402,-64.937812,0.0,0.0,0.0,0.0,TRI-115_MOA05,Moxos TRI-115 MOA05
77.0,MOA06**,Oil,Steam Turbine,PP,BO,1.12,0.35,2002.0,2002.0,2032.0,-14.8299403,-64.937813,0.0,0.0,0.0,0.0,TRI-115_MOA06,Moxos TRI-115 MOA06
78.0,MOA07**,Oil,Steam Turbine,PP,BO,1.1,0.35,2005.0,2005.0,2035.0,-14.8299404,-64.937814,0.0,0.0,0.0,0.0,TRI-115_MOA07,Moxos TRI-115 MOA07
79.0,MOA08**,Oil,Steam Turbine,PP,BO,1.1,0.35,2005.0,2005.0,2035.0,-14.8299404,-64.937814,0.0,0.0,0.0,0.0,TRI-115_MOA08,Moxos TRI-115 MOA08
80.0,RRE01**,Oil,Steam Turbine,PP,BO,1.2,0.35,2018.0,2018.0,2048.0,-14.4224258,-67.5466829,0.0,0.0,0.0,0.0,SBU-115_RRE01,Rurrenabaque SBU-115 RRE01
81.0,RRE02**,Oil,Steam Turbine,PP,BO,0.6,0.35,2018.0,2018.0,2048.0,-14.4224259,-67.546683,0.0,0.0,0.0,0.0,SBU-115_RRE02,Rurrenabaque SBU-115 RRE02
82.0,SBO01**,Oil,Steam Turbine,PP,BO,1.2,0.35,2018.0,2018.0,2048.0,-14.85885,-66.7599896,0.0,0.0,0.0,0.0,SBO-115_SBO01,San Borja SBO-115 SBO01
83.0,SBO02**,Oil,Steam Turbine,PP,BO,0.6,0.35,2018.0,2018.0,2048.0,-14.85886,-66.7599897,0.0,0.0,0.0,0.0,SBO-115_SBO02,San Borja SBO-115 SBO02
84.0,YUC01**,Oil,Steam Turbine,PP,BO,0.35,0.35,2018.0,2018.0,2048.0,-15.1405477,-67.0272019,0.0,0.0,0.0,0.0,YUC-115_YUC01,Yucumo YUC-115 YUC01
85.0,SAY01**,Oil,Steam Turbine,PP,BO,1.0,0.35,2018.0,2018.0,2048.0,-13.7371187,-65.4168628,0.0,0.0,0.0,0.0,MOX-115_SAY01,Santa Ana Yacuma MOX-115 SAY01
86.0,SAY02**,Oil,Steam Turbine,PP,BO,0.62,0.35,2018.0,2018.0,2048.0,-13.7371188,-65.4168629,0.0,0.0,0.0,0.0,MOX-115_SAY02,Santa Ana Yacuma MOX-115 SAY02
87.0,SIM01**,Oil,Steam Turbine,PP,BO,0.35,0.35,2018.0,2018.0,2048.0,-15.0004093,-65.6303847,0.0,0.0,0.0,0.0,MOX-115_SIM01,San Ignacio de Moxos MOX-115 SIM01
88.0,SIM02**,Oil,Steam Turbine,PP,BO,0.38,0.35,2018.0,2018.0,2048.0,-15.0004094,-65.6303848,0.0,0.0,0.0,0.0,MOX-115_SIM02,San Ignacio de Moxos MOX-115 SIM02
89.0,CCSUR10,CCGT,CCGT,PP,BO,105.49,0.45,2014.0,2014.0,2044.0,-21.694192,-63.562241,0.0,0.0,0.0,0.0,YAG-230_SUR10,Termo del Sur YAG-230 SUR10
90.0,CCSUR20,CCGT,CCGT,PP,BO,105.14,0.45,2014.0,2014.0,2044.0,-21.694956,-63.559678,0.0,0.0,0.0,0.0,YAG-230_SUR20,Termo del Sur YAG-230 SUR20
91.0,CCSUR30,CCGT,CCGT,PP,BO,114.3,0.45,2019.0,2019.0,2049.0,-21.6944898,-63.5606492,0.0,0.0,0.0,0.0,YAG-230_CCSUR30,Termo del Sur YAG-230 CCSUR30
92.0,CCSUR40,CCGT,CCGT,PP,BO,116.47,0.45,2019.0,2019.0,2049.0,-21.6946268,-63.5598932,0.0,0.0,0.0,0.0,YAG-230_CCSUR40,Termo del Sur YAG-230 CCSUR40
93.0,WAR05,CCGT,CCGT,PP,BO,39.57,0.45,2015.0,2015.0,2045.0,-17.535891,-63.147409,0.0,0.0,0.0,0.0,WAR-230_WAR05,Warnes WAR-230 CCWAR05
94.0,CCWAR10*,CCGT,CCGT,PP,BO,116.31,0.45,2020.0,2020.0,2050.0,-17.5347157,-63.1467692,0.0,0.0,0.0,0.0,WAR-230_CCWAR10,Warnes WAR-230 CCWAR10
95.0,CCWAR20,CCGT,CCGT,PP,BO,115.54,0.45,2021.0,2021.0,2051.0,-17.534593,-63.14742,0.0,0.0,0.0,0.0,WAR-230_WAR20,Warnes WAR-230 CCWAR20
96.0,CCWAR30*,CCGT,CCGT,PP,BO,125.3,0.45,2019.0,2019.0,2049.0,-17.5360158,-63.1524497,0.0,0.0,0.0,0.0,WAR-230_CCWAR30,Warnes WAR-230 CCWAR30
97.0,CCWAR40*,CCGT,CCGT,PP,BO,125.0,0.45,2019.0,2019.0,2049.0,-17.5356627,-63.1483892,0.0,0.0,0.0,0.0,WAR-230_CCWAR40,Warnes WAR-230 CCWAR40
98.0,GBE01*,Bioenergy,Steam Turbine,PP,BO,21.0,0.31,2007.0,2009.0,2039.0,-17.3158488,-63.2662787,0.0,0.0,0.0,0.0,GBE-013_GBE01,Guabira GBE-013 GBE01
99.0,IAG01*,Bioenergy,Steam Turbine,PP,BO,5.0,0.31,2017.0,2017.0,2047.0,-17.3159808,-63.2660377,0.0,0.0,0.0,0.0,GBE-013_IAG01,IAGSA GBE-013 IAG01
100.0,AGU02,Bioenergy,Steam Turbine,PP,BO,49.72,0.31,2022.0,2022.0,2052.0,-16.857374,-63.280084,0.0,0.0,0.0,0.0,MIN-115_AGU01,AGUAI MIN-115 AGU01
101.0,QOL,Wind,Onshore,PP,BO,3.0,1.0,2014.0,2014.0,2044.0,-17.6287401,-65.2916976,0.0,0.0,0.0,0.0,QOL-115_QOL,Qollpana 1 QOL-115 QOL
102.0,QOL2,Wind,Onshore,PP,BO,24.0,1.0,2016.0,2016.0,2046.0,-17.6318502,-65.2760551,0.0,0.0,0.0,0.0,QOL-115_QOL2,Qollpana 2 QOL-115 QOL2
103.0,ORU,Solar,Pv,PP,BO,100.02,1.0,2018.0,2020.0,2050.0,-17.7753238,-67.4350937,0.0,0.0,0.0,0.0,ORU-115_ORU,Oruro 1 ORU-115 ORU
104.0,UYU,Solar,Pv,PP,BO,60.06,1.0,2018.0,2018.0,2048.0,-20.5733559,-66.7699542,0.0,0.0,0.0,0.0,SUY-230_UYU,Uyuni SUY-230 UYU
105.0,YUN,Solar,Pv,PP,BO,5.0,1.0,2017.0,2015.0,2035.0,-21.833365,-65.099656,0.0,0.0,0.0,0.0,YUN,Yunchara
106.0,WAR,Wind,Onshore,PP,BO,14.4,1.0,2021.0,2015.0,2035.0,-17.524534,-63.128805,0.0,0.0,0.0,0.0,WAR,Warnes
107.0,SJU,Wind,Onshore,PP,BO,39.6,1.0,2021.0,2015.0,2035.0,-17.80471,-62.833061,0.0,0.0,0.0,0.0,SJU,San Julian
108.0,EDO,Wind,Onshore,PP,BO,50.4,1.0,2021.0,2015.0,2035.0,-18.354174,-63.100056,0.0,0.0,0.0,0.0,EDO,El Dorado
109.0,LCO,Geothermal,Steam Turbine,PP,BO,0,0.239,2022.0,2022.0,2052.0,-21.1327, -67.155,0.0,0.0,0.0,0.0,UYU,Uyuni

